Price,City
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
250000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
300000,Bangalore
350000,Bangalore
350000,Bangalore
350000,Bangalore
350000,Bangalore
350000,Bangalore
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
350000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Hyderabad
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
400000,Chennai
450000,Chennai
450000,Chennai
450000,Chennai
450000,Chennai
450000,Chennai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
450000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
500000,Mumbai
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
600000,Delhi
650000,Delhi
650000,Delhi
650000,Delhi
650000,Delhi
650000,Delhi
